City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
149,Djambala,-2.5447,14.7533,65.89,91,97,4.29,CG,overcast clouds
150,Porbandar,21.6422,69.6093,81.88,81,100,16.26,IN,overcast clouds
151,Cayenne,4.9333,-52.3333,83.08,5,0,1.01,GF,clear sky
152,Mecca,21.4267,39.8261,86.92,51,88,4.79,SA,overcast clouds
153,Barra De Sao Francisco,-18.755,-40.8908,63.91,89,0,2.53,BR,clear sky
154,The Valley,18.217,-63.0578,83.1,79,94,20.98,AI,overcast clouds
155,Saldanha,-33.0117,17.9442,51.85,50,0,8.68,ZA,clear sky
156,Chipinge,-20.1883,32.6236,50.2,93,27,3.51,ZW,scattered clouds
157,Lebu,-37.6167,-73.65,53.55,85,9,25.34,CL,clear sky
158,Katsuura,35.1333,140.3,80.62,87,100,18.52,JP,overcast clouds
159,Mount Gambier,-37.8333,140.7667,53.29,58,7,14.14,AU,clear sky
160,Cidreira,-30.1811,-50.2056,60.89,95,4,5.84,BR,clear sky
161,Samdari,25.8167,72.5833,78.64,89,100,10.45,IN,moderate rain
162,Banda Aceh,5.5577,95.3222,79.16,80,100,6.58,ID,overcast clouds
163,Kandrian,-6.2167,149.55,83.5,75,100,10.18,PG,moderate rain
164,Acari,-15.4311,-74.6158,64.96,74,42,3.91,PE,scattered clouds
165,Nushki,29.5542,66.0215,81.54,59,100,6.42,PK,overcast clouds
166,Romny,50.751,33.4747,56.73,96,18,6.69,UA,few clouds
167,Half Moon Bay,37.4636,-122.4286,80.06,74,100,19.57,US,overcast clouds
168,Jalu,29.0331,21.5482,81.88,25,0,9.31,LY,clear sky
169,Meadow Lake,34.8014,-106.5436,83.48,47,88,8.77,US,light rain
170,Sherbakul,54.6316,72.3963,69.39,69,47,5.44,RU,scattered clouds
171,Farias Brito,-6.9306,-39.5656,74.08,61,93,9.06,BR,overcast clouds
172,Mandalgovi,45.7625,106.2708,62.8,56,0,11.01,MN,clear sky
173,Shingu,33.7333,135.9833,86.07,67,98,3.78,JP,overcast clouds
174,San Patricio,28.017,-97.5169,90.32,59,51,16.22,US,broken clouds
175,Wittmund,53.5667,7.7833,66.04,92,4,12.73,DE,clear sky
