City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Kerema,PG,2022-07-24 03:24:45,-7.9631,145.7785,81.95,78,57,8.12
147,Ziro,IN,2022-07-24 03:24:46,27.6333,93.8333,59.74,82,89,1.45
148,Nome,US,2022-07-24 03:24:46,64.5011,-165.4064,49.12,79,97,13.69
149,Vila Velha,BR,2022-07-24 03:23:38,-20.3297,-40.2925,69.85,83,12,5.99
150,Yelizavetino,RU,2022-07-24 03:24:46,59.4916,29.7938,63.16,98,100,4.0
151,Gohana,IN,2022-07-24 03:24:47,29.1333,76.7,88.07,59,87,12.41
152,East London,ZA,2022-07-24 03:24:47,-33.0153,27.9116,52.74,71,20,17.27
153,Carnarvon,AU,2022-07-24 03:24:35,-24.8667,113.6333,64.81,51,20,19.17
154,Yanam,IN,2022-07-24 03:24:48,16.7333,82.2167,80.22,79,100,5.93
155,Grand Gaube,MU,2022-07-24 03:24:48,-20.0064,57.6608,69.39,75,69,5.01
156,Yerbogachen,RU,2022-07-24 03:24:48,61.2767,108.0108,75.54,60,85,7.56
157,Ndele,CF,2022-07-24 03:24:49,8.4109,20.6473,67.44,95,97,3.24
158,Rincon,US,2022-07-24 03:24:49,32.296,-81.2354,83.86,89,20,3.44
159,Tasiilaq,GL,2022-07-24 03:24:49,65.6145,-37.6368,33.96,89,98,10.2
160,Koumac,NC,2022-07-24 03:23:53,-20.5667,164.2833,75.51,71,90,6.13
161,Puerto Carreno,CO,2022-07-24 03:24:50,6.189,-67.4859,76.37,86,100,3.71
162,Barmer,IN,2022-07-24 03:24:50,25.75,71.3833,81.81,79,72,4.03
163,Half Moon Bay,US,2022-07-24 03:24:50,37.4636,-122.4286,54.93,88,54,6.85
164,Kaeo,NZ,2022-07-24 03:24:51,-35.1,173.7833,58.32,92,100,20.13
165,Waterbury,US,2022-07-24 03:24:51,41.5582,-73.0515,79.65,72,0,3.44
166,Aubenas,FR,2022-07-24 03:24:51,44.6201,4.3899,69.46,74,5,5.7
167,Baghdad,IQ,2022-07-24 03:24:52,33.3406,44.4009,80.51,32,0,6.91
168,Charleston,US,2022-07-24 03:20:41,32.7766,-79.9309,82.42,92,20,6.91
169,Noumea,NC,2022-07-24 03:24:52,-22.2763,166.4572,72.81,89,100,10.25
170,Thrissur,IN,2022-07-24 03:24:52,10.5167,76.2167,77.41,87,100,0.38
171,Dhidhdhoo,MV,2022-07-24 03:24:53,6.8833,73.1,81.46,75,29,14.99
172,Tuy Hoa,VN,2022-07-24 03:24:53,13.0833,109.3,86.02,64,73,3.78
173,Mahebourg,MU,2022-07-24 03:24:53,-20.4081,57.7,69.26,83,75,9.22
174,Sinnamary,GF,2022-07-24 03:24:54,5.3833,-52.95,77.81,86,97,8.34
175,Cabo San Lucas,MX,2022-07-24 03:20:17,22.8909,-109.9124,80.51,84,97,5.75
176,San Quintin,MX,2022-07-24 03:24:54,30.4833,-115.95,67.28,81,12,7.45
177,Eureka,US,2022-07-24 03:21:47,40.8021,-124.1637,60.19,80,3,1.01
178,Severo-Kurilsk,RU,2022-07-24 03:24:55,50.6789,156.125,57.18,90,100,5.35
179,Saraland,US,2022-07-24 03:24:55,30.8207,-88.0706,84.22,87,14,5.17
180,Agadez,NE,2022-07-24 03:24:55,19.75,10.25,87.73,16,86,6.91
181,Ust-Kut,RU,2022-07-24 03:24:55,56.7938,105.7672,60.37,98,100,0.92
182,Kalmunai,LK,2022-07-24 03:24:56,7.4167,81.8167,81.91,71,100,2.35
183,Antalaha,MG,2022-07-24 03:24:56,-14.9003,50.2788,66.85,90,82,6.15
184,Kavieng,PG,2022-07-24 03:24:56,-2.5744,150.7967,85.66,64,25,7.99
185,Arraial Do Cabo,BR,2022-07-24 03:24:57,-22.9661,-42.0278,71.01,88,24,21.77
186,Laurel,US,2022-07-24 03:24:57,39.0993,-76.8483,80.69,73,0,0.0
187,Mandalgovi,MN,2022-07-24 03:24:57,45.7625,106.2708,71.04,38,40,10.96
188,Vestmannaeyjar,IS,2022-07-24 03:24:58,63.4427,-20.2734,53.01,87,79,3.69
189,Aklavik,CA,2022-07-24 03:24:58,68.2191,-135.0107,45.1,82,100,10.58
190,Tessalit,ML,2022-07-24 03:24:58,20.1986,1.0114,82.6,50,65,24.92
191,Norman Wells,CA,2022-07-24 03:24:59,65.282,-126.8329,64.44,72,75,5.75
192,Titisee-Neustadt,DE,2022-07-24 03:24:59,47.9,8.1667,63.34,90,60,0.98
193,Ilulissat,GL,2022-07-24 03:24:59,69.2167,-51.1,38.19,99,100,1.12
194,Tomatlan,MX,2022-07-24 03:25:00,19.9333,-105.25,77.47,90,100,0.83
195,Yulara,AU,2022-07-24 03:25:00,-25.2406,130.9889,77.32,17,0,23.64
196,Ca Mau,VN,2022-07-24 03:25:00,9.1769,105.15,85.86,67,92,4.36
197,Maceio,BR,2022-07-24 03:25:00,-9.6658,-35.7353,74.64,88,100,5.75
198,Laguna,US,2022-07-24 03:25:01,38.421,-121.4238,91.4,34,0,9.22
199,Saskylakh,RU,2022-07-24 03:25:01,71.9167,114.0833,64.31,60,10,4.74
200,Nishihara,JP,2022-07-24 03:25:01,26.1842,127.7558,87.82,70,17,7.72
201,Suslovo,RU,2022-07-24 03:25:02,56.2167,88.1167,60.4,78,97,8.01
202,Galesong,ID,2022-07-24 03:25:02,-5.3166,119.3661,86.02,63,41,7.52
203,Klaksvik,FO,2022-07-24 03:25:02,62.2266,-6.589,50.61,90,98,22.53
204,Vao,NC,2022-07-24 03:25:03,-22.6667,167.4833,71.87,91,92,9.73
205,Ketchikan,US,2022-07-24 03:25:03,55.3422,-131.6461,57.54,90,100,5.06
206,Ahipara,NZ,2022-07-24 03:23:08,-35.1667,173.1667,56.75,91,100,21.23
207,Luau,AO,2022-07-24 03:25:03,-10.7073,22.2247,59.79,44,17,4.43
208,Alofi,NU,2022-07-24 03:25:04,-19.0595,-169.9187,75.09,64,94,14.97
209,Ust-Tsilma,RU,2022-07-24 03:25:04,65.441,52.1498,54.18,69,100,5.03
210,Faanui,PF,2022-07-24 03:25:04,-16.4833,-151.75,79.66,73,0,11.99
211,Codrington,AU,2022-07-24 03:25:05,-38.2667,141.9667,62.31,69,6,10.54
212,Torbay,CA,2022-07-24 03:24:09,47.6666,-52.7314,68.88,82,0,11.5
213,Hrodna,BY,2022-07-24 03:25:05,53.6884,23.8258,64.26,93,75,13.42
214,Phalaborwa,ZA,2022-07-24 03:25:05,-23.943,31.1411,61.3,59,1,4.43
215,Namibe,AO,2022-07-24 03:24:20,-15.1961,12.1522,62.47,90,1,2.86
216,Ribeira Grande,PT,2022-07-24 03:25:06,38.5167,-28.7,73.44,89,12,5.23
217,Narsaq,GL,2022-07-24 03:25:06,60.9167,-46.05,46.62,85,100,1.92
218,Pauini,BR,2022-07-24 03:25:06,-7.7136,-66.9764,76.86,78,99,1.9
219,Staryy Nadym,RU,2022-07-24 03:25:07,65.6118,72.6842,48.65,91,100,20.83
220,Lakes Entrance,AU,2022-07-24 03:25:07,-37.8811,147.981,65.16,50,56,4.03
221,San Ramon De La Nueva Oran,AR,2022-07-24 03:25:07,-23.1322,-64.326,67.42,69,0,2.71
222,Kuzino,RU,2022-07-24 03:25:08,57.0224,59.4412,64.94,67,35,5.35
223,Cayenne,GF,2022-07-24 03:25:08,4.9333,-52.3333,83.08,3,20,0.0
224,Qujing,CN,2022-07-24 03:25:08,25.4833,103.7833,72.97,69,37,10.54
225,Kahului,US,2022-07-24 03:25:09,20.8947,-156.47,84.22,63,40,14.97
226,Marystown,CA,2022-07-24 03:25:09,47.1666,-55.1483,62.85,100,52,7.92
227,Novo Aripuana,BR,2022-07-24 03:25:09,-5.1206,-60.3797,77.72,58,90,1.54
228,Porto Novo,BJ,2022-07-24 03:25:10,6.4965,2.6036,78.62,91,90,4.85
229,Vung Tau,VN,2022-07-24 03:22:54,10.346,107.0843,83.19,74,15,6.96
230,Yeovil,GB,2022-07-24 03:25:10,50.9416,-2.6321,64.62,93,100,16.11
